,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
18,, , , , , ,18, , , , , , , , , ,Polygon,   ,MATIC,   ,MATIC, , , , , , , , , , , $1.54 , , , -1.3% , , , 2.8% , , , 1.7% , , ," $1,053,956,924 ", , ," $10,598,547,470 ", , , , ,   ,
19,, , , , , ,19, , , , , , , , , ,Dai,   ,DAI,   ,DAI, , , , , , , , , , , $1.00 , , , 0.2% , , , -0.0% , , , 0.1% , , ," $312,797,140 ", , ," $9,258,749,480 ", , , , ,   ,
20,, , , , , ,20, , , , , , , , , ,Cosmos,   ,ATOM,   ,ATOM, , , , , , , , , , , $29.13 , , , -1.0% , , , 1.4% , , , 10.8% , , ," $972,608,786 ", , ," $8,414,906,805 ", , , , ,   ,
21,, , , , , ,21, , , , , , , , , ,Litecoin,   ,LTC,   ,LTC, , , , , , , , , , , $108.29 , , , -0.9% , , , 0.4% , , , -2.3% , , ," $729,241,350 ", , ," $7,542,100,334 ", , , , ,   ,
22,, , , , , ,22, , , , , , , , , ,Chainlink,   ,LINK,   ,LINK, , , , , , , , , , , $14.63 , , , -0.5% , , , 1.9% , , , -0.2% , , ," $663,956,339 ", , ," $6,819,977,331 ", , , , ,   ,
23,, , , , , ,23, , , , , , , , , ,Bitcoin Cash,   ,BCH,   ,BCH, , , , , , , , , , , $325.64 , , , -0.6% , , , 2.9% , , , 7.2% , , ," $1,381,767,212 ", , ," $6,184,419,898 ", , , , ,   ,
24,, , , , , ,24, , , , , , , , , ,FTX Token,   ,FTT,   ,FTT, , , , , , , , , , , $44.98 , , , -0.1% , , , 3.9% , , , 9.5% , , ," $108,496,682 ", , ," $6,182,112,281 ", , , , ,   ,
25,, , , , , ,25, , , , , , , , , ,TRON,   ,TRX,   ,TRX, , , , , , , , , , , $0.060051408950 , , , -0.7% , , , -0.5% , , , -3.6% , , ," $987,980,738 ", , ," $6,109,054,719 ", , , , ,   ,
26,, , , , , ,26, , , , , , , , , ,Near,   ,NEAR,   ,NEAR, , , , , , , , , , , $9.06 , , , -0.2% , , , 1.8% , , , -2.7% , , ," $261,610,031 ", , ," $5,829,287,750 ", , , , ,   ,
27,, , , , , ,28, , , , , , , , , ,Lido Staked Ether,   ,STETH,   ,STETH, , , , , , , , ," $2,805.76 ", , , -0.5% , , , 1.1% , , , 6.4% , , ," $5,355,119 ", , ," $5,621,413,489 ", , , , ,   ,,,
28,, , , , , ,29, , , , , , , , , ,Algorand,   ,ALGO,   ,ALGO, , , , , , , , , , , $0.839392 , , , -1.3% , , , 1.1% , , , -1.0% , , ," $156,751,453 ", , ," $5,551,947,541 ", , , , ,   ,
29,, , , , , ,27, , , , , , , , , ,LEO Token,   ,LEO,   , LEO, , , , , , , , , $5.90 , , , -2.9% , , , -0.8% , , , 2.7% , , ," $795,685 ", , ," $5,528,742,148 ", , , , ,   ,,,
30,, , , , , ,30, , , , , , , , , ,Stellar,   ,XLM,   ,XLM, , , , , , , , , , , $0.189593 , , , -0.6% , , , -0.0% , , , -3.0% , , ," $277,412,062 ", , ," $4,726,777,493 ", , , , ,   ,
31,, , , , , ,31, , , , , , , , , ,Uniswap,   ,UNI,   ,UNI, , , , , , , , , , , $10.07 , , , -1.8% , , , -0.0% , , , 7.5% , , ," $387,428,565 ", , ," $4,597,860,866 ", , , , ,   ,
32,, , , , , ,32, , , , , , , , , ,OKB,   ,OKB,   ,OKB, , , , , , , , , $17.34 , , , -0.8% , , , -0.3% , , , -8.5% , , ," $105,219,357 ", , ," $4,553,055,442 ", , , , ,   ,,,
33,, , , , , ,33, , , , , , , , , ,Fantom,   ,FTM,   ,FTM, , , , , , , , , , , $1.71 , , , -0.5% , , , 2.3% , , , -1.0% , , ," $879,755,287 ", , ," $4,352,624,230 ", , , , ,   ,
34,, , , , , ,34, , , , , , , , , ,Hedera,   ,HBAR,   ,HBAR, , , , , , , , , , , $0.222196 , , , -1.2% , , , 1.1% , , , 2.9% , , ," $63,367,434 ", , ," $4,345,647,785 ", , , , ,   ,
35,, , , , , ,35, , , , , , , , , ,Decentraland,   ,MANA,   ,MANA, , , , , , , , , , , $2.69 , , , -1.3% , , , 0.2% , , , -0.7% , , ," $669,597,631 ", , ," $4,020,445,674 ", , , , ,   ,
36,, , , , , ,36, , , , , , , , , ,Internet Computer,   ,ICP,   ,ICP, , , , , , , , , , , $18.74 , , , -0.5% , , , 2.9% , , , 0.0% , , ," $177,087,633 ", , ," $3,888,899,996 ", , , , ,   ,
37,, , , , , ,37, , , , , , , , , ,Ethereum Classic,   ,ETC,   ,ETC, , , , , , , , , , , $28.66 , , , -1.2% , , , 0.5% , , , 4.3% , , ," $340,727,579 ", , ," $3,813,934,291 ", , , , ,   ,
38,, , , , , ,38, , , , , , , , , ,Axie Infinity,   ,AXS,   ,AXS, , , , , , , , , , , $50.25 , , , -1.3% , , , 0.6% , , , -4.5% , , ," $309,492,628 ", , ," $3,660,165,252 ", , , , ,   ,
39,, , , , , ,39, , , , , , , , , ,Filecoin,   ,FIL,   ,FIL, , , , , , , , , , , $20.99 , , , -0.7% , , , 0.4% , , , 5.6% , , ," $554,363,044 ", , ," $3,564,490,329 ", , , , ,   ,
40,, , , , , ,40, , , , , , , , , ,The Sandbox,   ,SAND,   ,SAND, , , , , , , , , , , $3.06 , , , -1.1% , , , 0.5% , , , -5.1% , , ," $737,772,220 ", , ," $3,333,515,449 ", , , , ,   ,
41,, , , , , ,41, , , , , , , , , ,VeChain,   ,VET,   ,VET, , , , , , , , , , , $0.048572300990 , , , -0.8% , , , 1.5% , , , -1.7% , , ," $324,080,921 ", , ," $3,238,825,498 ", , , , ,   ,
42,, , , , , ,42, , , , , , , , , ,Klaytn,   ,KLAY,   ,KLAY, , , , , , , , , $1.22 , , , -0.7% , , , 1.7% , , , -3.2% , , ," $71,066,210 ", , ," $3,209,846,429 ", , , , ,   ,,,
43,, , , , , ,43, , , , , , , , , ,cETH,   ,CETH,   ,CETH, , , , , , , , , $56.36 , , , -0.2% , , , 1.2% , , , 6.7% , , , $0.000000000000 , , ," $3,180,876,448 ", , , , ,   ,,,
44,, , , , , ,44, , , , , , , , , ,Elrond,   ,EGLD,   ,EGLD, , , , , , , , , $141.33 , , , -1.6% , , , 0.7% , , , -9.2% , , ," $159,006,748 ", , ," $3,101,592,835 ", , , , ,   ,,,
45,, , , , , ,45, , , , , , , , , ,Monero,   ,XMR,   ,XMR, , , , , , , , , $163.44 , , , -0.4% , , , 2.8% , , , 5.9% , , ," $112,643,023 ", , ," $2,952,572,007 ", , , , ,   ,,,
46,, , , , , ,46, , , , , , , , , ,Osmosis,   ,OSMO,   ,OSMO, , , , , , , , , $9.49 , , , -1.0% , , , -1.0% , , , 11.1% , , ," $127,134,283 ", , ," $2,925,919,864 ", , , , ,   ,,,
47,, , , , , ,47, , , , , , , , , ,Tezos,   ,XTZ,   ,XTZ, , , , , , , , , , , $3.33 , , , -1.1% , , , 0.3% , , , 1.5% , , ," $167,904,267 ", , ," $2,918,632,665 ", , , , ,   ,
48,, , , , , ,48, , , , , , , , , ,Theta Network,   ,THETA,   ,THETA, , , , , , , , , , , $2.91 , , , -1.7% , , , -0.8% , , , -2.2% , , ," $207,315,064 ", , ," $2,913,838,689 ", , , , ,   ,
49,, , , , , ,49, , , , , , , , , ,Frax,   ,FRAX,   ,FRAX, , , , , , , , , $1.00 , , , 0.1% , , , 0.1% , , , 0.3% , , ," $21,520,137 ", , ," $2,858,609,599 ", , , , ,   ,,,
50,, , , , , ,50, , , , , , , , , ,cUSDC,   ,CUSDC,   ,CUSDC, , , , , , , , , $0.022518568021 , , , 0.1% , , , -0.1% , , , -0.1% , , , $0.000000000000 , , ," $2,806,113,744 ", , , , ,   ,,,
51,, , , , , ,51, , , , , , , , , ,Magic Internet Money,   ,MIM,   ,MIM, , , , , , , , , $0.997234 , , , -0.6% , , , -0.2% , , , 0.2% , , ," $88,799,373 ", , ," $2,775,400,810 ", , , , ,   ,,,
52,, , , , , ,52, , , , , , , , , ,ECOMI,   ,OMI,   ,OMI, , , , , , , , , $0.004419941857 , , , 1.5% , , , 1.8% , , , -10.5% , , ," $4,064,536 ", , ," $2,570,990,633 ", , , , ,   ,,,
53,, , , , , ,53, , , , , , , , , ,Helium,   ,HNT,   ,HNT, , , , , , , , , $23.91 , , , -1.5% , , , 0.5% , , , 4.0% , , ," $16,759,339 ", , ," $2,405,548,617 ", , , , ,   ,,,
54,, , , , , ,54, , , , , , , , , ,The Graph,   ,GRT,   ,GRT, , , , , , , , , , , $0.361296 , , , -0.9% , , , 2.4% , , , -8.4% , , ," $137,871,212 ", , ," $2,225,160,960 ", , , , ,   ,
55,, , , , , ,55, , , , , , , , , ,EOS,   ,EOS,   ,EOS, , , , , , , , , , , $2.17 , , , -1.2% , , , -0.7% , , , -1.7% , , ," $425,149,697 ", , ," $2,138,700,625 ", , , , ,   ,
56,, , , , , ,56, , , , , , , , , ,IOTA,   ,MIOTA,   ,MIOTA, , , , , , , , , , , $0.763578 , , , -0.4% , , , 4.2% , , , -3.6% , , ," $47,568,614 ", , ," $2,124,300,812 ", , , , ,   ,
57,, , , , , ,57, , , , , , , , , ,Flow,   ,FLOW,   ,FLOW, , , , , , , , , $6.08 , , , -0.7% , , , 1.8% , , , 4.5% , , ," $173,780,302 ", , ," $2,007,110,857 ", , , , ,   ,,,
58,, , , , , ,58, , , , , , , , , ,cDAI,   ,CDAI,   ,CDAI, , , , , , , , , $0.021855147404 , , , -0.4% , , , -0.2% , , , -0.2% , , ," $49,296.90 ", , ," $1,989,143,511 ", , , , ,   ,,,
59,, , , , , ,59, , , , , , , , , ,Aave,   ,AAVE,   ,AAVE, , , , , , , , , , , $140.07 , , , -1.3% , , , -2.2% , , , 1.7% , , ," $225,819,349 ", , ," $1,906,453,417 ", , , , ,   ,
60,, , , , , ,60, , , , , , , , , ,Theta Fuel,   ,TFUEL,   ,TFUEL, , , , , , , , , $0.169766 , , , -0.7% , , , -0.8% , , , -7.7% , , ," $23,663,799 ", , ," $1,886,178,774 ", , , , ,   ,,,
61,, , , , , ,61, , , , , , , , , ,Gala,   ,GALA,   ,GALA, , , , , , , , , , , $0.245916 , , , -1.7% , , , 0.8% , , , -2.6% , , ," $797,156,680 ", , ," $1,854,523,328 ", , , , ,   ,
62,, , , , , ,62, , , , , , , , , ,BitTorrent,   ,BTT,   ,BTT, , , , , , , , , $0.000001939867 , , , -0.5% , , , 2.0% , , , -2.0% , , ," $70,522,148 ", , ," $1,808,920,814 ", , , , ,   ,,,
63,, , , , , ,63, , , , , , , , , ,PancakeSwap,   ,CAKE,   ,CAKE, , , , , , , , , $6.61 , , , -1.0% , , , 1.2% , , , -10.4% , , ," $89,128,372 ", , ," $1,796,533,053 ", , , , ,   ,,,
64,, , , , , ,64, , , , , , , , , ,Harmony,   ,ONE,   ,ONE, , , , , , , , , $0.150349 , , , -1.8% , , , 1.0% , , , -0.4% , , ," $126,195,368 ", , ," $1,773,236,086 ", , , , ,   ,,,
65,, , , , , ,65, , , , , , , , , ,Maker,   ,MKR,   ,MKR, , , , , , , , , , ," $1,880.27 ", , , -1.1% , , , -1.3% , , , 5.5% , , ," $60,842,573 ", , ," $1,694,164,270 ", , , , ,   ,
66,, , , , , ,66, , , , , , , , , ,Bitcoin SV,   ,BSV,   ,BSV, , , , , , , , , $85.53 , , , -0.3% , , , 1.1% , , , 0.7% , , ," $78,566,433 ", , ," $1,624,532,694 ", , , , ,   ,,,
67,, , , , , ,67, , , , , , , , , ,Huobi BTC,   ,HBTC,   ,HBTC, , , , , , , , ," $40,539.50 ", , , -2.9% , , , 3.6% , , , 6.7% , , ," $2,847,411 ", , ," $1,616,062,328 ", , , , ,   ,,,
68,, , , , , ,68, , , , , , , , , ,JUNO,   ,JUNO,   ,JUNO, , , , , , , , , $35.31 , , , -0.8% , , , -2.7% , , , 28.2% , , ," $16,880,663 ", , ," $1,567,940,392 ", , , , ,   ,,,
69,, , , , , ,69, , , , , , , , , ,Arweave,   ,AR,   ,AR, , , , , , , , , $30.71 , , , -1.5% , , , 3.1% , , , 16.9% , , ," $49,264,412 ", , ," $1,539,863,015 ", , , , ,   ,,,
70,, , , , , ,70, , , , , , , , , ,KuCoin Token,   ,KCS,   ,KCS, , , , , , , , , $19.88 , , , -1.1% , , , 1.2% , , , 4.3% , , ," $12,779,595 ", , ," $1,511,758,110 ", , , , ,   ,,,
71,, , , , , ,71, , , , , , , , , ,TrueUSD,   ,TUSD,   ,TUSD, , , , , , , , , $1.00 , , , -0.0% , , , -0.1% , , , 0.1% , , ," $95,664,943 ", , ," $1,491,180,683 ", , , , ,   ,,,
72,, , , , , ,72, , , , , , , , , ,Quant,   ,QNT,   ,QNT, , , , , , , , , , , $110.61 , , , -1.2% , , , 1.6% , , , 2.2% , , ," $38,582,649 ", , ," $1,482,552,242 ", , , , ,   ,
73,, , , , , ,73, , , , , , , , , ,NEO,   ,NEO,   ,NEO, , , , , , , , , , , $20.97 , , , -1.2% , , , 0.4% , , , -10.5% , , ," $182,492,138 ", , ," $1,478,400,020 ", , , , ,   ,
74,, , , , , ,74, , , , , , , , , ,Huobi Token,   ,HT,   ,HT, , , , , , , , , $9.27 , , , -1.0% , , , 0.6% , , , -3.5% , , ," $42,250,538 ", , ," $1,447,274,577 ", , , , ,   ,,,
75,, , , , , ,75, , , , , , , , , ,eCash,   ,XEC,   ,XEC, , , , , , , , , $0.000076141146 , , , -1.1% , , , 0.6% , , , 0.2% , , ," $13,050,630 ", , ," $1,440,965,619 ", , , , ,   ,,,
76,, , , , , ,76, , , , , , , , , ,Radix,   ,XRD,   ,XRD, , , , , , , , , $0.148457 , , , -2.2% , , , 2.1% , , , 10.9% , , ," $217,940 ", , ," $1,436,531,632 ", , , , ,   ,,,
77,, , , , , ,77, , , , , , , , , ,Amp,   ,AMP,   ,AMP, , , , , , , , , $0.028728060364 , , , -0.1% , , , 2.3% , , , 5.5% , , ," $9,767,798 ", , ," $1,380,244,418 ", , , , ,   ,,,
78,, , , , , ,79, , , , , , , , , ,Zcash,   ,ZEC,   ,ZEC, , , , , , , , , , , $113.10 , , , 0.0% , , , 4.8% , , , 4.4% , , ," $218,617,382 ", , ," $1,372,845,229 ", , , , ,   ,
79,, , , , , ,78, , , , , , , , , ,Enjin Coin,   ,ENJ,   ,ENJ, , , , , , , , , , , $1.46 , , , -1.0% , , , 0.5% , , , -5.0% , , ," $146,958,617 ", , ," $1,365,662,428 ", , , , ,   ,
80,, , , , , ,81, , , , , , , , , ,Humans.ai,   ,HEART,   , HEART, , , , , , , , , $0.120544 , , , -0.2% , , , -1.3% , , , -14.5% , , ," $588,817 ", , ," $1,309,127,902 ", , , , ,   ,,,
81,, , , , , ,80, , , , , , , , , ,Celsius Network,   ,CEL,   ,CEL, , , , , , , , , $3.09 , , , 0.2% , , , -1.0% , , , -1.7% , , ," $3,554,854 ", , ," $1,308,543,921 ", , , , ,   ,,,
82,, , , , , ,82, , , , , , , , , ,Frax Share,   ,FXS,   ,FXS, , , , , , , , , $22.09 , , , -0.4% , , , 3.6% , , , 2.3% , , ," $9,453,940 ", , ," $1,274,916,172 ", , , , ,   ,,,
83,, , , , , ,84, , , , , , , , , ,Waves,   ,WAVES,   ,WAVES, , , , , , , , , $12.66 , , , -0.1% , , , 6.7% , , , 34.0% , , ," $471,627,206 ", , ," $1,266,629,334 ", , , , ,   ,,,
84,, , , , , ,83, , , , , , , , , ,Stacks,   ,STX,   ,STX, , , , , , , , , $1.20 , , , 0.6% , , , 2.0% , , , -3.6% , , ," $22,737,864 ", , ," $1,263,590,313 ", , , , ,   ,,,
85,, , , , , ,85, , , , , , , , , ,NEXO,   ,NEXO,   ,NEXO, , , , , , , , , $2.08 , , , 1.8% , , , 3.6% , , , 8.7% , , ," $6,102,586 ", , ," $1,161,811,162 ", , , , ,   ,,,
86,, , , , , ,86, , , , , , , , , ,THORChain,   ,RUNE,   ,RUNE, , , , , , , , , $3.69 , , , -1.5% , , , 0.6% , , , -3.6% , , ," $49,531,005 ", , ," $1,109,926,259 ", , , , ,   ,,,
87,, , , , , ,87, , , , , , , , , ,Kusama,   ,KSM,   ,KSM, , , , , , , , , $122.95 , , , -0.8% , , , -0.3% , , , -11.7% , , ," $31,027,559 ", , ," $1,103,896,457 ", , , , ,   ,,,
88,, , , , , ,88, , , , , , , , , ,Kadena,   ,KDA,   ,KDA, , , , , , , , , $6.38 , , , -1.6% , , , 4.0% , , , 3.3% , , ," $15,147,729 ", , ," $1,092,369,533 ", , , , ,   ,,,
89,, , , , , ,89, , , , , , , , , ,BitDAO,   ,BIT,   ,BIT, , , , , , , , , $1.22 , , , -0.5% , , , -0.4% , , , -16.9% , , ," $45,426,259 ", , ," $1,051,196,923 ", , , , ,   ,,,
90,, , , , , ,90, , , , , , , , , ,Basic Attention Token,   ,BAT,   ,BAT, , , , , , , , , , , $0.703096 , , , -1.4% , , , 1.2% , , , -0.4% , , ," $74,494,763 ", , ," $1,050,562,824 ", , , , ,   ,
91,, , , , , ,91, , , , , , , , , ,Pax Dollar,   ,USDP,   ,USDP, , , , , , , , , $1.00 , , , 0.1% , , , -0.1% , , , -0.0% , , ," $16,023,421 ", , ," $1,021,894,722 ", , , , ,   ,,,
92,, , , , , ,92, , , , , , , , , ,Celo,   ,CELO,   ,CELO, , , , , , , , , , , $2.50 , , , -1.3% , , , 2.6% , , , -2.5% , , ," $38,885,277 ", , ," $1,018,232,431 ", , , , ,   ,
93,, , , , , ,93, , , , , , , , , ,Dash,   ,DASH,   ,DASH, , , , , , , , , , , $95.19 , , , -0.9% , , , 2.2% , , , -3.8% , , ," $121,394,747 ", , ," $1,008,414,445 ", , , , ,   ,
94,, , , , , ,94, , , , , , , , , ,GateToken,   ,GT,   ,GT, , , , , , , , , $6.56 , , , 0.0% , , , 1.8% , , , 4.5% , , ," $4,088,767 ", , ," $996,692,856 ", , , , ,   ,,,
95,, , , , , ,95, , , , , , , , , ,Loopring,   ,LRC,   ,LRC, , , , , , , , , $0.781189 , , , -1.4% , , , 1.1% , , , -4.0% , , ," $139,784,694 ", , ," $972,451,257 ", , , , ,   ,,,
96,, , , , , ,96, , , , , , , , , ,Chiliz,   ,CHZ,   ,CHZ, , , , , , , , , , , $0.182037 , , , -0.5% , , , 4.8% , , , -3.0% , , ," $181,896,800 ", , ," $971,360,452 ", , , , ,   ,
97,, , , , , ,97, , , , , , , , , ,NEM,   ,XEM,   ,XEM, , , , , , , , , $0.103966 , , , -0.8% , , , 0.6% , , , 5.2% , , ," $20,283,709 ", , ," $932,265,854 ", , , , ,   ,,,
98,, , , , , ,98, , , , , , , , , ,Anchor Protocol,   ,ANC,   ,ANC, , , , , , , , , $3.61 , , , -1.4% , , , -6.4% , , , 63.6% , , ," $46,372,758 ", , ," $928,844,115 ", , , , ,   ,,,
99,, , , , , ,100, , , , , , , , , ,Convex Finance,   ,CVX,   ,CVX, , , , , , , , , $17.73 , , , 0.6% , , , -7.1% , , , -23.9% , , ," $28,351,902 ", , ," $923,027,724 ", , , , ,   ,,,
100,, , , , , ,99, , , , , , , , , ,Curve DAO Token,   ,CRV,   ,CRV, , , , , , , , , , , $2.35 , , , -1.1% , , , 0.8% , , , -7.9% , , ," $211,821,983 ", , ," $922,303,074 ", , , , ,   ,
